지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,적설(cm),3시간신적설(cm)
112,인천,2024-01-01 0:00,0.7,,,,0.6,,50,,91,,5.8,-0.6,1017.7,,1026.5,,,
112,인천,2024-01-01 1:00,0.6,,,,1.1,,70,,92,,5.9,-0.5,1018.1,,1026.9,,,
112,인천,2024-01-01 2:00,0.3,,,,1.8,,360,,93,,5.8,-0.7,1018.5,,1027.3,,,
112,인천,2024-01-01 3:00,0.5,,,,0.7,,320,,93,,5.9,-0.5,1019,,1027.8,,,
112,인천,2024-01-01 4:00,0.4,,,,1.5,,70,,94,,5.9,-0.4,1019.2,,1028,,,
112,인천,2024-01-01 5:00,0.8,,,,1.3,,70,,95,,6.1,0,1019.4,,1028.2,,,
112,인천,2024-01-01 6:00,0.7,,,,2.3,,110,,95,,6.1,0,1019.4,,1028.2,,,
112,인천,2024-01-01 7:00,0.4,,,,1,,230,,95,,6,-0.3,1020.1,,1028.9,,,
112,인천,2024-01-01 8:00,0.4,,,,0.5,,270,,95,,6,-0.3,1020.5,,1029.3,,,
112,인천,2024-01-01 9:00,1.5,,,,0.9,,90,,96,,6.5,0.9,1020.5,,1029.3,,,
112,인천,2024-01-01 10:00,1.8,,,,0.7,,290,,93,,6.4,0.7,1021.1,,1029.9,,,
112,인천,2024-01-01 11:00,2.8,,,,0.6,,290,,92,,6.9,1.6,1020.9,,1029.6,,,
112,인천,2024-01-01 12:00,4.6,,,,1.2,,230,,85,,7.2,2.2,1020.3,,1028.9,,,
112,인천,2024-01-01 13:00,5,,,,2.2,,230,,81,,7.1,2,1019.2,,1027.8,,,
112,인천,2024-01-01 14:00,5,,,,1.9,,230,,79,,6.9,1.6,1018.5,,1027.1,,,
112,인천,2024-01-01 15:00,4.9,,,,1.9,,200,,76,,6.6,1,1018.2,,1026.8,,,
112,인천,2024-01-01 16:00,4.5,,,,2.2,,230,,78,,6.5,0.9,1018,,1026.6,,,
112,인천,2024-01-01 17:00,4.2,,,,1.1,,230,,78,,6.4,0.6,1017.7,,1026.3,,,
112,인천,2024-01-01 18:00,4,,,,1.4,,230,,78,,6.3,0.5,1017.6,,1026.2,,,
112,인천,2024-01-01 19:00,3.8,,,,1.6,,230,,79,,6.3,0.4,1017.3,,1025.9,,,
112,인천,2024-01-01 20:00,3.8,,,,1.6,,250,,81,,6.5,0.8,1017.4,,1026,,,
112,인천,2024-01-01 21:00,3.6,,,,1.4,,290,,85,,6.7,1.3,1017.2,,1025.8,,,
112,인천,2024-01-01 22:00,3.5,,,,1.2,,290,,86,,6.7,1.3,1017.3,,1026,,,
112,인천,2024-01-01 23:00,3.3,,,9,2.1,,320,,88,,6.8,1.4,1016.9,,1025.6,,,
112,인천,2024-01-02 0:00,3.1,,0,,1.8,,340,,89,,6.8,1.4,1016.8,,1025.5,,,
112,인천,2024-01-02 1:00,2.9,,,,1.1,,290,,86,,6.4,0.7,1016.4,,1025.1,,,
112,인천,2024-01-02 2:00,2.8,,,,2.5,,320,,83,,6.2,0.1,1016.1,,1024.8,,,
112,인천,2024-01-02 3:00,2.4,,,,1.9,,320,,85,,6.2,0.1,1016.1,,1024.8,,,
112,인천,2024-01-02 4:00,2.3,,,,1.4,,320,,84,,6.1,-0.1,1015.7,,1024.4,,,
112,인천,2024-01-02 5:00,2.2,,,,1.5,,320,,86,,6.1,0,1015.1,,1023.8,,,
112,인천,2024-01-02 6:00,1.9,,,,0.8,,20,,84,,5.9,-0.5,1014.6,,1023.3,,,
112,인천,2024-01-02 7:00,2,,,,1.7,,320,,85,,6,-0.2,1015.1,,1023.8,,,
112,인천,2024-01-02 8:00,1.8,,,,1.5,,360,,82,,5.7,-0.9,1014.9,,1023.6,,,
112,인천,2024-01-02 9:00,1.9,,,,1,,320,,79,,5.6,-1.3,1015.1,,1023.8,,,
112,인천,2024-01-02 10:00,2.5,,,,1.9,,320,,76,,5.6,-1.3,1015.4,,1024.1,,,
112,인천,2024-01-02 11:00,2.7,,,,2,,290,,70,,5.2,-2.2,1015,,1023.7,,,
112,인천,2024-01-02 12:00,3.1,,,,1.9,,290,,70,,5.4,-1.8,1014.5,,1023.1,,,
112,인천,2024-01-02 13:00,3.7,,,,3.3,,290,,66,,5.3,-2,1014.1,,1022.7,,,
112,인천,2024-01-02 14:00,3.6,,,,3.1,,290,,64,,5.1,-2.5,1013.5,,1022.1,,,
112,인천,2024-01-02 15:00,3.9,,,,2,,270,,60,,4.9,-3.1,1013.2,,1021.8,,,
112,인천,2024-01-02 16:00,3.6,,,,2,,250,,62,,4.9,-3,1013.2,,1021.8,,,
112,인천,2024-01-02 17:00,3.2,,,,1.5,,230,,65,,5,-2.7,1013,,1021.6,,,
112,인천,2024-01-02 18:00,2.9,,,,2.3,,250,,68,,5.1,-2.4,1013,,1021.6,,,
112,인천,2024-01-02 19:00,2.9,,,,1.3,,290,,69,,5.2,-2.2,1012.9,,1021.5,,,
112,인천,2024-01-02 20:00,2.7,,,,1.6,,270,,68,,5,-2.6,1013,,1021.6,,,
112,인천,2024-01-02 21:00,2.5,,,,0.8,,270,,70,,5.1,-2.4,1013.1,,1021.8,,,
112,인천,2024-01-02 22:00,2.5,,,,0.7,,290,,71,,5.2,-2.2,1012.7,,1021.4,,,
112,인천,2024-01-02 23:00,2.4,,,,1.9,,290,,73,,5.3,-1.9,1012.5,,1021.2,,,
112,인천,2024-01-03 0:00,2.2,,,,1.8,,320,,75,,5.4,-1.7,1012.2,,1020.9,,,
112,인천,2024-01-03 1:00,2.2,,,,1.6,,340,,75,,5.4,-1.7,1011.9,,1020.6,,,
112,인천,2024-01-03 2:00,2.3,,,,1.2,,340,,76,,5.5,-1.5,1011.4,,1020,,,
112,인천,2024-01-03 3:00,2.3,,,,1.6,,320,,78,,5.6,-1.1,1011.4,,1020,,,
112,인천,2024-01-03 4:00,2.2,,,,0.1,,0,,77,,5.5,-1.4,1010.9,,1019.5,,,
112,인천,2024-01-03 5:00,2.2,,,,0.5,,290,,77,,5.5,-1.4,1010.5,,1019.1,,,
