일시,기온(°C),풍속(m/s),습도(%),강풍 특보,건조 특보,폭염 특보,한파 특보
2024-01-01 0:00,0.7,0.6,91,해당없음,판단불가,해당없음,해당없음
2024-01-01 1:00,0.6,1.1,92,해당없음,판단불가,해당없음,해당없음
2024-01-01 2:00,0.3,1.8,93,해당없음,판단불가,해당없음,해당없음
2024-01-01 3:00,0.5,0.7,93,해당없음,판단불가,해당없음,해당없음
2024-01-01 4:00,0.4,1.5,94,해당없음,판단불가,해당없음,해당없음
2024-01-01 5:00,0.8,1.3,95,해당없음,판단불가,해당없음,해당없음
2024-01-01 6:00,0.7,2.3,95,해당없음,판단불가,해당없음,해당없음
2024-01-01 7:00,0.4,1.0,95,해당없음,판단불가,해당없음,해당없음
2024-01-01 8:00,0.4,0.5,95,해당없음,판단불가,해당없음,해당없음
2024-01-01 9:00,1.5,0.9,96,해당없음,판단불가,해당없음,해당없음
2024-01-01 10:00,1.8,0.7,93,해당없음,판단불가,해당없음,해당없음
2024-01-01 11:00,2.8,0.6,92,해당없음,판단불가,해당없음,해당없음
2024-01-01 12:00,4.6,1.2,85,해당없음,판단불가,해당없음,해당없음
2024-01-01 13:00,5.0,2.2,81,해당없음,판단불가,해당없음,해당없음
2024-01-01 14:00,5.0,1.9,79,해당없음,판단불가,해당없음,해당없음
2024-01-01 15:00,4.9,1.9,76,해당없음,판단불가,해당없음,해당없음
2024-01-01 16:00,4.5,2.2,78,해당없음,판단불가,해당없음,해당없음
2024-01-01 17:00,4.2,1.1,78,해당없음,판단불가,해당없음,해당없음
2024-01-01 18:00,4.0,1.4,78,해당없음,판단불가,해당없음,해당없음
2024-01-01 19:00,3.8,1.6,79,해당없음,판단불가,해당없음,해당없음
2024-01-01 20:00,3.8,1.6,81,해당없음,판단불가,해당없음,해당없음
2024-01-01 21:00,3.6,1.4,85,해당없음,판단불가,해당없음,해당없음
2024-01-01 22:00,3.5,1.2,86,해당없음,판단불가,해당없음,해당없음
2024-01-01 23:00,3.3,2.1,88,해당없음,판단불가,해당없음,해당없음
2024-01-02 0:00,3.1,1.8,89,해당없음,판단불가,해당없음,해당없음
2024-01-02 1:00,2.9,1.1,86,해당없음,판단불가,해당없음,해당없음
2024-01-02 2:00,2.8,2.5,83,해당없음,판단불가,해당없음,해당없음
2024-01-02 3:00,2.4,1.9,85,해당없음,판단불가,해당없음,해당없음
2024-01-02 4:00,2.3,1.4,84,해당없음,판단불가,해당없음,해당없음
2024-01-02 5:00,2.2,1.5,86,해당없음,판단불가,해당없음,해당없음
2024-01-02 6:00,1.9,0.8,84,해당없음,판단불가,해당없음,해당없음
2024-01-02 7:00,2.0,1.7,85,해당없음,판단불가,해당없음,해당없음
2024-01-02 8:00,1.8,1.5,82,해당없음,판단불가,해당없음,해당없음
2024-01-02 9:00,1.9,1.0,79,해당없음,판단불가,해당없음,해당없음
2024-01-02 10:00,2.5,1.9,76,해당없음,판단불가,해당없음,해당없음
2024-01-02 11:00,2.7,2.0,70,해당없음,판단불가,해당없음,해당없음
2024-01-02 12:00,3.1,1.9,70,해당없음,판단불가,해당없음,해당없음
2024-01-02 13:00,3.7,3.3,66,해당없음,판단불가,해당없음,해당없음
2024-01-02 14:00,3.6,3.1,64,해당없음,판단불가,해당없음,해당없음
2024-01-02 15:00,3.9,2.0,60,해당없음,판단불가,해당없음,해당없음
2024-01-02 16:00,3.6,2.0,62,해당없음,판단불가,해당없음,해당없음
2024-01-02 17:00,3.2,1.5,65,해당없음,판단불가,해당없음,해당없음
2024-01-02 18:00,2.9,2.3,68,해당없음,판단불가,해당없음,해당없음
2024-01-02 19:00,2.9,1.3,69,해당없음,판단불가,해당없음,해당없음
2024-01-02 20:00,2.7,1.6,68,해당없음,판단불가,해당없음,해당없음
2024-01-02 21:00,2.5,0.8,70,해당없음,판단불가,해당없음,해당없음
2024-01-02 22:00,2.5,0.7,71,해당없음,판단불가,해당없음,해당없음
2024-01-02 23:00,2.4,1.9,73,해당없음,판단불가,해당없음,해당없음
2024-01-03 0:00,2.2,1.8,75,해당없음,해당없음,해당없음,해당없음
2024-01-03 1:00,2.2,1.6,75,해당없음,해당없음,해당없음,해당없음
2024-01-03 2:00,2.3,1.2,76,해당없음,해당없음,해당없음,해당없음
2024-01-03 3:00,2.3,1.6,78,해당없음,해당없음,해당없음,해당없음
2024-01-03 4:00,2.2,0.1,77,해당없음,해당없음,해당없음,해당없음
2024-01-03 5:00,2.2,0.5,77,해당없음,해당없음,해당없음,해당없음
2024-01-03 6:00,2.3,1.0,79,해당없음,해당없음,해당없음,해당없음
2024-01-03 7:00,2.4,1.4,81,해당없음,해당없음,해당없음,해당없음
2024-01-03 8:00,2.3,1.6,85,해당없음,해당없음,해당없음,해당없음
2024-01-03 9:00,2.2,0.0,85,해당없음,해당없음,해당없음,해당없음
2024-01-03 10:00,2.7,2.0,86,해당없음,해당없음,해당없음,해당없음
2024-01-03 11:00,3.4,1.9,85,해당없음,해당없음,해당없음,해당없음
2024-01-03 12:00,4.4,1.8,81,해당없음,해당없음,해당없음,해당없음
2024-01-03 13:00,3.8,2.3,81,해당없음,해당없음,해당없음,해당없음
2024-01-03 14:00,3.3,4.4,86,해당없음,해당없음,해당없음,해당없음
2024-01-03 15:00,3.1,3.1,84,해당없음,해당없음,해당없음,해당없음
2024-01-03 16:00,3.2,3.2,77,해당없음,해당없음,해당없음,해당없음
2024-01-03 17:00,2.8,2.5,80,해당없음,해당없음,해당없음,해당없음
2024-01-03 18:00,1.9,2.8,84,해당없음,해당없음,해당없음,해당없음
2024-01-03 19:00,1.6,3.4,76,해당없음,해당없음,해당없음,해당없음
2024-01-03 20:00,1.0,2.9,69,해당없음,해당없음,해당없음,해당없음
2024-01-03 21:00,0.6,2.7,71,해당없음,해당없음,해당없음,해당없음
2024-01-03 22:00,0.3,2.7,69,해당없음,해당없음,해당없음,해당없음
2024-01-03 23:00,0.1,4.2,62,해당없음,해당없음,해당없음,해당없음
2024-01-04 0:00,-0.4,2.4,66,해당없음,해당없음,해당없음,해당없음
2024-01-04 1:00,-0.6,2.1,66,해당없음,해당없음,해당없음,해당없음
2024-01-04 2:00,-0.9,2.1,68,해당없음,해당없음,해당없음,해당없음
2024-01-04 3:00,-1.0,1.7,71,해당없음,해당없음,해당없음,해당없음
2024-01-04 4:00,-1.3,1.2,71,해당없음,해당없음,해당없음,해당없음
2024-01-04 5:00,-1.8,0.8,72,해당없음,해당없음,해당없음,해당없음
2024-01-04 6:00,-1.9,1.3,70,해당없음,해당없음,해당없음,해당없음
2024-01-04 7:00,-1.6,1.7,72,해당없음,해당없음,해당없음,해당없음
2024-01-04 8:00,-1.0,2.5,69,해당없음,해당없음,해당없음,해당없음
2024-01-04 9:00,-0.5,2.3,69,해당없음,해당없음,해당없음,해당없음
2024-01-04 10:00,0.5,2.9,69,해당없음,해당없음,해당없음,해당없음
2024-01-04 11:00,2.8,2.3,63,해당없음,해당없음,해당없음,해당없음
2024-01-04 12:00,4.1,3.4,60,해당없음,해당없음,해당없음,해당없음
2024-01-04 13:00,3.9,3.7,60,해당없음,해당없음,해당없음,해당없음
2024-01-04 14:00,5.0,3.9,60,해당없음,해당없음,해당없음,해당없음
2024-01-04 15:00,4.6,3.9,63,해당없음,해당없음,해당없음,해당없음
2024-01-04 16:00,4.6,4.2,65,해당없음,해당없음,해당없음,해당없음
2024-01-04 17:00,4.7,3.6,68,해당없음,해당없음,해당없음,해당없음
2024-01-04 18:00,4.6,4.5,68,해당없음,해당없음,해당없음,해당없음
2024-01-04 19:00,4.5,3.9,71,해당없음,해당없음,해당없음,해당없음
2024-01-04 20:00,4.4,4.0,72,해당없음,해당없음,해당없음,해당없음
2024-01-04 21:00,4.5,4.5,72,해당없음,해당없음,해당없음,해당없음
2024-01-04 22:00,4.3,3.7,73,해당없음,해당없음,해당없음,해당없음
2024-01-04 23:00,4.0,5.1,73,해당없음,해당없음,해당없음,해당없음
2024-01-05 0:00,3.8,3.7,75,해당없음,해당없음,해당없음,해당없음
2024-01-05 1:00,4.1,4.3,77,해당없음,해당없음,해당없음,해당없음
2024-01-05 2:00,4.3,4.0,78,해당없음,해당없음,해당없음,해당없음
2024-01-05 3:00,4.5,3.6,81,해당없음,해당없음,해당없음,해당없음
2024-01-05 4:00,4.8,3.9,83,해당없음,해당없음,해당없음,해당없음
2024-01-05 5:00,5.0,2.5,84,해당없음,해당없음,해당없음,해당없음
2024-01-05 6:00,6.0,3.1,87,해당없음,해당없음,해당없음,해당없음
2024-01-05 7:00,5.6,3.3,87,해당없음,해당없음,해당없음,해당없음
2024-01-05 8:00,5.6,3.4,87,해당없음,해당없음,해당없음,해당없음
2024-01-05 9:00,5.8,3.5,86,해당없음,해당없음,해당없음,해당없음
2024-01-05 10:00,5.9,3.2,81,해당없음,해당없음,해당없음,해당없음
2024-01-05 11:00,6.9,2.3,75,해당없음,해당없음,해당없음,해당없음
2024-01-05 12:00,7.3,4.2,69,해당없음,해당없음,해당없음,해당없음
2024-01-05 13:00,7.6,3.8,68,해당없음,해당없음,해당없음,해당없음
2024-01-05 14:00,7.4,3.7,67,해당없음,해당없음,해당없음,해당없음
2024-01-05 15:00,7.0,3.6,68,해당없음,해당없음,해당없음,해당없음
2024-01-05 16:00,6.3,3.4,71,해당없음,해당없음,해당없음,해당없음
2024-01-05 17:00,5.3,3.0,70,해당없음,해당없음,해당없음,해당없음
2024-01-05 18:00,4.3,3.0,78,해당없음,해당없음,해당없음,해당없음
